docketNumber,paidOrIfp,docketDisposition,docketDispositionDate,journalDispositions,journalDispositionDates,reconciliationStatus,officialDocketUrl,reviewNote
23-7148,ifp,denied,2024-06-10,denied,2024-06-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7148.html,Current docket outcome matches at least one parsed Journal row.
23-7149,ifp,denied,2024-06-10,denied,2024-06-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7149.html,Current docket outcome matches at least one parsed Journal row.
23-7150,ifp,gvr_or_remand,2024-10-21,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7150.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-7151,ifp,denied,2024-06-03,denied,2024-06-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7151.html,Current docket outcome matches at least one parsed Journal row.
23-7152,ifp,denied,2024-06-10,denied,2024-06-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7152.html,Current docket outcome matches at least one parsed Journal row.
23-7153,ifp,denied,2024-04-09,denied,2024-04-09,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7153.html,Current docket outcome matches at least one parsed Journal row.
23-7154,ifp,denied,2024-06-10,denied,2024-06-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7154.html,Current docket outcome matches at least one parsed Journal row.
23-7155,ifp,denied,2024-06-10,denied,2024-06-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7155.html,Current docket outcome matches at least one parsed Journal row.
23-7156,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7156.html,Current docket outcome matches at least one parsed Journal row.
23-7157,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7157.html,Current docket outcome matches at least one parsed Journal row.
23-7158,ifp,denied,2024-10-07,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7158.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-7159,ifp,denied,2024-06-10,denied,2024-06-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7159.html,Current docket outcome matches at least one parsed Journal row.
23-7160,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7160.html,Current docket outcome matches at least one parsed Journal row.
23-7161,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7161.html,Current docket outcome matches at least one parsed Journal row.
23-7162,ifp,denied,2024-06-24,denied,2024-06-24,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7162.html,Current docket outcome matches at least one parsed Journal row.
23-7163,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7163.html,Current docket outcome matches at least one parsed Journal row.
23-7164,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7164.html,Current docket outcome matches at least one parsed Journal row.
23-7165,ifp,denied,2024-10-07,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7165.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-7166,ifp,gvr_or_remand,2024-11-12,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7166.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-7167,ifp,denied,2024-06-03,denied,2024-06-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7167.html,Current docket outcome matches at least one parsed Journal row.
23-7168,ifp,denied,2024-05-20,denied,2024-05-20,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7168.html,Current docket outcome matches at least one parsed Journal row.
23-7169,ifp,denied,2024-06-10,denied,2024-06-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7169.html,Current docket outcome matches at least one parsed Journal row.
23-7170,ifp,denied,2024-06-10,denied,2024-06-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7170.html,Current docket outcome matches at least one parsed Journal row.
23-7171,ifp,denied,2024-06-10,denied,2024-06-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7171.html,Current docket outcome matches at least one parsed Journal row.
23-7172,ifp,denied,2024-10-07,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7172.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-7173,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7173.html,Current docket outcome matches at least one parsed Journal row.
23-7174,ifp,denied,2024-10-07,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7174.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-7175,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7175.html,Current docket outcome matches at least one parsed Journal row.
23-7176,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7176.html,Current docket outcome matches at least one parsed Journal row.
23-7177,ifp,not_certiorari_intake,,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7177.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-7178,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7178.html,Current docket outcome matches at least one parsed Journal row.
23-7179,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7179.html,Current docket outcome matches at least one parsed Journal row.
23-7180,ifp,denied,2024-06-10,denied,2024-06-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7180.html,Current docket outcome matches at least one parsed Journal row.
23-7181,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7181.html,Current docket outcome matches at least one parsed Journal row.
23-7182,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7182.html,Current docket outcome matches at least one parsed Journal row.
